"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 4:38 AM,"The Spectator Index","1626294277",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","BREAKING: The Financial Times reports that Microsoft is moving some of top artificial intelligence experts from China to Canada",,,324.0,"1667269910094053379"
6/9/23 2:05 AM,"Edwin Hayward","45010849",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Today, Rishi Sunak was over in the US begging Joe Biden to let the UK take the lead in a joint AI regulator. ? 

The embarrassing thing is that, if we'd still been an EU member, we'd already have a seat at the table because they've got their act together.
https://t.co/ahj5crcz7u https://t.co/Qudzb5hgv7",,,379.0,"1666869114231455750"
6/9/23 11:43 AM,"Mar3.AI | AI Marketing for Web3","1630300449218891777",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","? Hero Arena Makes Strategic Investment in Mar3 AI: Growing Artificial intelligence in the Web3 Gaming

? Mar3 AI is thrilled to announce that @HeroArena_Hera - a Metaverse RPG game built on innovative blockchain technology, has joined us as our newest strategic investor! 

?… https://t.co/5PBcElEPWs https://t.co/pXD7vHYpjI",,,374.0,"1667014593791807491"
6/10/23 12:19 PM,"Spiros Margaris","2711212681",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @psb_dc: Thoughtful read.

As the #AI industry booms, what toll will it take on the environment? 

#sustainability cc @TomRaftery @Matth…",,,21.0,"1667385915336019968"
6/10/23 12:19 PM,"Stewart Milimu ilondanga","338792638",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","While 3D printing may initially appear less high-tech compared to advancements such as artificial intelligence or gene technology, its potential to fundamentally reshape manufacturing and various other sectors is substantial. #gainwithstewartilondanga #AR #AI #MR #XR #5G #NFT #PS",,,0.0,"1667385851582763008"
6/10/23 12:18 PM,"slev/ezzo","1364563324952666119",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @BookSpotlight: Oh my gosh, the fight to keep AI out of the arts is just unending. 

Please don't use Midjourney or ChatGPT. It's steali…",,,271.0,"1667385638201741312"
6/10/23 12:17 PM,"??? ?????","53499587",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @PotentProzac: The concept of pre-crime, once just a sci-fi idea popularized by movies such as 'The Minority Report,' is steadily becomi…",,,2.0,"1667385584531243008"
6/10/23 12:17 PM,"david","396244151",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Kinkymilady: Next #x1000 on #bsc 
Blockchain combined with Artificial Intelligence to offer first Hentai image generator and unique NFT…",,,4971.0,"1667385574552944640"
6/10/23 12:17 PM,"bartacuss (Human)","1438922263","BartMassee","1438922263","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","I am a Super intelligence fan though
I Bow to the Artificial Alien God??????",,,0.0,"1667385539883077632"
6/10/23 12:17 PM,"Chris ?","17401845",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @BookSpotlight: Oh my gosh, the fight to keep AI out of the arts is just unending. 

Please don't use Midjourney or ChatGPT. It's steali…",,,271.0,"1667385494920105984"
6/10/23 12:17 PM,"? Dwi ?","2192419488",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Kinkymilady: Next #x1000 on #bsc 
Blockchain combined with Artificial Intelligence to offer first Hentai image generator and unique NFT…",,,4971.0,"1667385491082350592"
6/10/23 12:17 PM,"Tinu Cherian Abraham","52378823",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bijugovind: Government will regulate #AI if it brings harm to users, says Union Minister https://t.co/Ykrq3n3Hvw",,,1.0,"1667385428327141376"
6/10/23 12:17 PM,"XX?DDI","3247686929",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @alykhansatchu: As Putin himself put it: “Whoever does not miss the Soviet Union has no heart. Whoever wants it back has no brain.” @was…",,,7.0,"1667385419388923904"
6/10/23 12:17 PM,"rafael atencia prado","1166460834",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @AltGemHunter: Hyped presale ?

Next #x1000 on #bsc 
Blockchain combined with Artificial Intelligence to offer first Hentai image genera…",,,255.0,"1667385385435947008"
6/10/23 12:17 PM,"HATE CRIMES","1652877685511577602",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @EvidenceOpen: AI Review of 'Virtual Care and Emergency Department Use During the COVID-19 Pandemic' (JAMA Network Open, 2023). Study fi…",,,11.0,"1667385360693829634"
6/10/23 12:17 PM,"KSTP","17278675",,"-1","en","<a href='http://www.socialnewsdesk.com' rel='nofollow'>SocialNewsDesk</a>","Lawmakers and industry leaders are voicing concerns that AI programs could be potentially used to build military weapons, create cyber-attacks and flood the web with disinformation. https://t.co/Hir08b7ySc",,,0.0,"1667385358223302656"
6/10/23 12:17 PM,"Kucing Meong","463006914",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @TheSocReview: From #ChatGPT in #HE to algorithmic authoritarianism worldwide, artificial intelligence is a rising source of fears as we…",,,7.0,"1667385347511296000"
6/10/23 12:16 PM,"HATE CRIMES","1652877685511577602",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @EvidenceOpen: AI Review of 'Association between cannabis use disorder and schizophrenia stronger in young males than in females' (Psych…",,,47.0,"1667385345434959872"
6/10/23 12:16 PM,"Nuclear Nadal Scientist (parody)","1575104759555448832",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Swamy39: Recommended: Subramanian Swamy : “Sanskrit, Artificial Intelligence and the Law” https://t.co/8mQ8sJ7UzK via @The Daily Guardi…",,,39.0,"1667385315089317888"
6/10/23 12:16 PM,"araLe freetag seumur hidup","1634147307754246145",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @Kinkymilady: Next #x1000 on #bsc 
Blockchain combined with Artificial Intelligence to offer first Hentai image generator and unique NFT…",,,4971.0,"1667385244675379202"
