DATE,MONTH,TIME,TYPE OF EMR (CATEGORY),INVOLVED,LOCATION,DISTRICT ,LATITUDE (degrees),LONGTITUDE (decimal),LATITUDE (decimal),LONGTITUDE (decimal)
"Jan 1, 2022",January 2022,12:42:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),espana lacson,District 4," 14°36'34.86""N","120°59'34.13""E",14.609683,120.992814
"Jan 1, 2022",January 2022,1:55:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),osmeña highway north bound,District 5," 14°33'56.36""N","121° 0'11.61""E",14.565656,121.003225
"Jan 1, 2022",January 2022,2:11:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),roxas blvd cor pedro gil,District 5,"14°33'56.36""N","121° 0'11.61""E",14.565656,121.003225
"Jan 1, 2022",January 2022,3:00:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),osmena highway,District 5," 14°36'2.19""N","120°59'48.01""E",14.600608,120.996669
"Jan 1, 2022",January 2022,6:46:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),legarda infront of Arellano University,District 4," 14°35'59.26""N","120°59'3.36""E",14.599794,120.984267
"Jan 3, 2022",January 2022,8:57:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),quezon blvd. south bound,District 4," 14°35'30.72""N","120°58'49.31""E",14.591867,120.980364
"Jan 6, 2022",January 2022,6:48:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),mehan garden,District 5," 14°34'20.16""N","120°58'57.88""E",14.572267,120.982744
"Jan 6, 2022",January 2022,7:53:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Sedan,M.H DEL PILAR cor. QUINTOS ST MALATE MANILA,District 5,"14°35'30.72""N","120°58'49.31""E",14.591867,120.980364
"Jan 6, 2022",January 2022,6:48:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),mehan garden,District 5," 14°33'56.07""N","120°59'16.11""E",14.565575,120.987808
"Jan 12, 2022",January 2022,12:00:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs PUV, Quirino Ave. Cor. Mother Ignacia,," 14°36'13.20""N","120°59'14.94""E",14.603667,120.987483
"Feb 4, 2022",February 2022,9:28:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),IN FRONT OF FEU,District 4," 14°36'57.50""N","120°59'19.93""E",14.615972,120.988869
"Feb 21, 2022",February 2022,11:45:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Dimasalang cor. Dangwa,District 4," 14°34'27.54""N","120°59'17.91""E",14.574317,120.988308
"Feb 21, 2022",February 2022,6:51:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),General Malvar South Bound,District 5," 14°35'25.79""N","121° 1'15.04""E",14.590497,121.020844
"Feb 25, 2022",February 2022,9:22:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Ebike/Bike,Lubiran st. Bacood Sta Mesa,District 6," 14°34'49.59""N","120°59'26.48""E",14.580442,120.990689
