DATE,MONTH,TYPE OF INCIDENT/ACTIVITY,TIME,TYPE OF EMR,"LOCATION (specify, nearest landmark or intersection)
(sample format): UN Ave. near Taft Intersection",INVOLVED,RECEIVING HOSPITAL,LATITUDE,LONGTITUDE,LATITUDE,LONGTITUDE,NO. OF OUTDATED ROAD TRAFFIC CONTROL DEVICES,
"January 1, 2023",January 2023,Emergency Medical Response (EMR),8:55:00 pm,Vehicular / Road Accident,Pampamga cor Rizal Ave.,Motorcycle (Loss of Control),Jose Reyes Hospital,"14°37'40.83""N","120°58'58.74""E",14.628008,120.982983,3,
"January 2, 2023",January 2023,Emergency Medical Response (EMR),7:35:00 am,Vehicular / Road Accident,Delpan Bridge Southbound,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA),"14°35'47.52""N","120°58'0.51""E",14.596533,120.966808,1,
"January 2, 2023",January 2023,Emergency Medical Response (EMR),7:38:00 am,Vehicular / Road Accident, Jones Bridge Southbound,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA),"14°35'42.66""N","120°58'39.47""E",14.595183,120.977631,0,
"January 2, 2023",January 2023,Emergency Medical Response (EMR),3:27:00 pm,Vehicular / Road Accident,"Florentino St corner dela Fuente
",Motorcycle vs Pedestrian,Jose Reyes Hospital,"14°36'44.52""N","120°59'36.38""E",14.612367,120.993439,4,
"January 3, 2023",January 2023,Emergency Medical Response (EMR),9:48:00 pm,Vehicular / Road Accident, Ayala bridge,PUJ vs Pedestrian,Ospital ng Maynila (OSMA),"14°35'29.02""N","120°59'11.34""E",14.591394,120.986483,0,
"January 3, 2023",January 2023,Emergency Medical Response (EMR),12:10:00 am,Vehicular / Road Accident,Mehan Garden ,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.),"14°35'31.27""N","120°58'49.24""E",14.592019,120.980344,0,
"January 3, 2023",January 2023,Emergency Medical Response (EMR),5:57:00 pm,Vehicular / Road Accident,Mc Arthur Bridge Northbound ,Motorcycle vs Sedan,Ospital ng Maynila (OSMA),"14°35'50.97""N","120°58'49.70""E",14.597492,120.980472,0,
"January 4, 2023",January 2023,Emergency Medical Response (EMR),5:42:00 pm,Vehicular / Road Accident,Quezon Boulevard Underpass South Bound,Motorcycle vs Motorcycle,Philippine Orthopedic Center (P.O.C.),"14°36'10.58""N","120°59'5.59""E",14.602939,120.984886,0,
"January 4, 2023",January 2023,Emergency Medical Response (EMR),7:14:00 pm,Vehicular / Road Accident," P. Burgos in front of Mehan Garden Ermita, Manila.",Motorcycle (Loss of Control),Ospital ng Maynila (OSMA),"14°35'32.28""N","120°58'49.04""E",14.5923,120.980289,0,
"January 4, 2023",January 2023,Emergency Medical Response (EMR),11:33:00 pm,Vehicular / Road Accident,Remedios Cor. L Guinto,Motorcycle vs PUV,Jose Reyes Hospital,"14°34'22.31""N","120°59'28.10""E",14.572864,120.991139,0,
"January 6, 2023",January 2023,Emergency Medical Response (EMR),9:08:00 pm,Vehicular / Road Accident,Roxas blvd cor P. faura northbound infront of US embassy,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA),"14°34'39.21""N","120°58'43.29""E",14.577558,120.978692,1,
"January 7, 2023",January 2023,Emergency Medical Response (EMR),7:35:00 am,Vehicular / Road Accident,Adriatico Cor p. Ocampo Infront Rizal Staduim,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA),"14°33'39.45""N","120°59'32.12""E",14.560958,120.992256,4,
"January 9, 2023",January 2023,Emergency Medical Response (EMR),1:41:00 pm,Vehicular / Road Accident,infront of u.s embassy roxas blvd,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA),"14°34'38.91""N","120°58'42.85""E",14.577753,120.978569,0,
